Invoice_ID,Invoice_Date,SKU,Invoice_Amount,Due_Date,Payment_Due
1,2019-09-23,853,46982,2023-09-25,NO
2,2019-09-23,862,5857,2023-01-13,NO
3,2019-09-23,868,21208,2024-10-30,NO
4,2019-09-23,2313,16618,2026-05-30,Yes
5,2019-09-23,2355,17713,2024-04-25,NO
6,2019-09-23,2529,15860,2024-11-22,NO
7,2019-04-27,2723,6919,2025-06-24,NO
8,2019-05-30,655,24450,2024-11-19,NO
9,2019-07-31,2546,30624,2024-06-04,NO
10,2019-08-07,2832,12541,2025-01-16,NO
11,2019-08-07,2832,36956,2024-08-21,NO
12,2019-08-07,2883,45221,2023-06-08,NO
13,2019-08-07,2883,38949,2025-12-18,Yes
14,2019-08-07,2889,20893,2025-06-15,NO
15,2019-09-07,2734,29870,2026-04-16,Yes
16,2019-09-07,2723,35008,2023-07-14,NO
17,2019-09-07,2641,39384,2026-06-05,Yes
18,2019-09-12,1444,8600,2024-08-16,NO
19,2019-09-12,709,14277,2025-06-26,NO
20,2019-09-25,2775,23129,2025-12-19,Yes
21,2019-09-25,2775,26281,2024-05-01,NO
22,2019-11-25,2723,5844,2025-04-16,NO
23,2019-11-25,2737,28655,2024-04-03,NO
24,2019-11-25,2739,38495,2024-07-24,NO
25,2019-12-28,2740,18295,2025-12-11,Yes
26,2019-01-03,2275,14647,2025-07-01,NO
27,2019-01-04,2360,44478,2026-05-03,Yes
28,2019-01-04,1344,17983,2024-03-06,NO
29,2019-01-07,2117,21988,2025-08-25,Yes
30,2019-01-07,2275,46782,2026-12-07,Yes
31,2019-01-07,2522,14642,2025-12-16,Yes
32,2019-01-08,2226,49117,2026-08-17,Yes
33,2019-01-10,1600,23540,2025-07-23,NO
34,2019-01-11,1600,45323,2024-01-26,NO
35,2019-01-11,2360,40610,2026-10-15,Yes
36,2019-01-12,2301,27946,2025-12-09,Yes
37,2019-01-12,2360,43440,2025-10-30,Yes
38,2019-01-14,1600,44297,2025-04-02,NO
39,2019-01-14,2117,21448,2025-05-23,NO
40,2021-11-26,1136,35131,2025-09-07,Yes
41,2019-01-17,1600,12135,2025-07-13,NO
42,2019-01-17,2117,11799,2024-03-03,NO
43,2019-01-17,1354,25844,2026-06-02,Yes
44,2019-01-18,2275,31310,2025-11-22,Yes
45,2019-01-19,1600,25391,2026-09-11,Yes
46,2019-01-21,2226,43452,2023-05-18,NO
47,2019-01-21,2883,39088,2026-11-17,Yes
48,2019-01-22,2360,6415,2026-08-11,Yes
49,2019-01-24,1291,45056,2025-11-09,Yes
