Invoice_ID,Employee_ID,Product_ID,Customer_Id,Transaction_ID,Tranasaction_Date,Total_Sales,Discount,Quantity,Region,Country,Payment_Method,Transaction_Status,Reason
1,1,1,1,1,27-12-2019,797,76,4,North,Chile ,EMI,Pending,Payment Gateway Timeout
2,2,2,2,2,27-12-2019,356,90,2,East,Qatar ,Net Banking,Pending,Currency Issue
3,3,3,3,3,27-12-2019,902,79,4,North,New Zealand,Net Banking,Refunded,NA
4,4,4,4,4,27-12-2019,183,69,1,Central,Malaysia ,Mobile Wallet,Refunded,Network Error
5,5,5,5,5,27-12-2019,780,94,4,Central,Chile ,Gift Card,Success,Cancelled by User
6,6,6,6,6,27-12-2019,1124,17,4,West,Canada ,Credit Card,Success,NA
7,8,7,7,7,27-12-2019,1251,24,4,Central,Indonesia ,Debit Card,Cancelled,Currency Issue
8,9,8,8,8,27-12-2019,805,69,2,West,Italy ,EMI,Refunded,Insufficient Balance
9,10,9,9,9,27-12-2019,1175,60,4,West,Italy ,Credit Card,Failed,Network Error
10,11,10,10,10,27-12-2019,966,75,4,East,Denmark ,Debit Card,Cancelled,Chargeback
11,12,11,11,11,27-12-2019,512,64,2,Northwest,Spain ,Credit Card,Success,Exceeded Limit
12,13,12,12,12,27-12-2019,2850,97,4,Southwest,United States,PayPal,Failed,Exceeded Limit
13,14,13,13,13,27-12-2019,3053,35,3,West,United States,UPI,Pending,Refund Processed
14,15,14,14,14,28-12-2019,1424,99,4,Central,Chile ,Debit Card,Pending,Invalid Card Details
15,16,15,15,15,28-12-2019,747,65,4,Southeast,Iran ,Mobile Wallet,Cancelled,Technical Error
16,17,16,16,16,28-12-2019,1288,16,8,East,Iran ,EMI,Pending,Technical Error
17,18,17,17,17,28-12-2019,1390,12,8,West,Canada ,Cash On Delivery,Refunded,Exceeded Limit
18,19,18,18,18,28-12-2019,1322,93,4,South,Iran ,UPI,Pending,Insufficient Balance
19,20,19,19,19,28-12-2019,3305,15,20,East,Mexico ,EMI,Pending,Fraud Suspected
20,21,20,20,20,28-12-2019,3814,30,20,Northeast,UAE ,EMI,Failed,Insufficient Balance
21,22,21,21,21,28-12-2019,1119,13,8,North,New Zealand,Net Banking,Pending,Currency Issue
22,23,22,22,22,28-12-2019,1424,17,8,West,South Africa,Credit Card,Pending,Technical Error
23,24,23,23,23,28-12-2019,712,2,4,Northeast,Bangladesh ,Gift Card,Success,Fraud Suspected
24,25,24,24,24,28-12-2019,3475,70,20,South,Mexico ,PayPal,Cancelled,Currency Issue
25,26,25,25,25,28-12-2019,2475,99,4,West,United Kingdom,Net Banking,Cancelled,Duplicate Transaction
26,27,26,26,26,28-12-2019,1424,95,8,West,Switzerland ,PayPal,Pending,Duplicate Transaction
27,28,27,27,27,28-12-2019,746,59,4,South,Chile ,Bank Transfer,Cancelled,Insufficient Balance
28,29,28,28,28,28-12-2019,918,25,4,Northwest,Peru ,Mobile Wallet,Cancelled,Network Error
29,30,29,29,29,28-12-2019,500,68,2,Southwest,Canada ,Net Banking,Success,Payment Gateway Timeout
30,31,30,30,30,28-12-2019,1156,73,4,Northwest,Nigeria ,UPI,Success,Technical Error
31,32,31,31,31,28-12-2019,390,38,2,North,Qatar ,Gift Card,Failed,Payment Gateway Timeout
32,33,32,32,32,28-12-2019,947,76,4,North,Chile ,PayPal,Refunded,Cancelled by User
33,34,33,33,33,28-12-2019,914,6,4,Northwest,Netherlands ,Cash On Delivery,Success,Network Error
34,35,34,34,34,28-12-2019,847,92,4,East,Germany ,EMI,Failed,Exceeded Limit
35,36,35,35,35,28-12-2019,714,90,4,South,Argentina ,Cash On Delivery,Cancelled,Fraud Suspected
36,37,36,36,36,28-12-2019,432,42,2,Northeast,South Africa,Cash On Delivery,Cancelled,Technical Error
37,38,37,37,37,28-12-2019,746,11,4,West,Afghanistan ,Cash On Delivery,Failed,Network Error
38,39,38,38,38,28-12-2019,1729,23,12,Central,Iran ,Net Banking,Cancelled,Exceeded Limit
39,40,39,39,39,28-12-2019,500,18,2,Southeast,UAE ,Mobile Wallet,Pending,Exceeded Limit
40,41,40,40,40,28-12-2019,1117,14,4,Central,Netherlands ,Mobile Wallet,Failed,NA
41,44,41,41,41,28-12-2019,915,55,4,Northwest,Bangladesh ,EMI,Cancelled,Fraud Suspected
42,45,42,42,42,28-12-2019,302,19,1,West,Indonesia ,PayPal,Failed,Invalid Card Details
43,47,43,43,43,28-12-2019,1014,24,4,North,Austria ,Net Banking,Failed,Network Error
44,49,44,44,44,28-12-2019,902,3,4,Southwest,Russia ,Debit Card,Pending,Refund Processed
45,50,45,45,45,28-12-2019,837,5,4,Northwest,Israel ,PayPal,Cancelled,Payment Gateway Timeout
46,51,46,46,46,28-12-2019,1626,44,4,Central,France ,Cash On Delivery,Success,NA
47,53,47,47,47,28-12-2019,524,16,1,Southeast,Norway ,EMI,Refunded,Insufficient Balance
48,54,48,48,48,28-12-2019,4186,31,4,Northeast,Belgium ,Net Banking,Pending,Technical Error
49,55,49,49,49,28-12-2019,1173,43,4,Northwest,Colombia ,Gift Card,Success,Duplicate Transaction
50,56,50,50,50,28-12-2019,3288,82,4,Northwest,Indonesia ,Cash On Delivery,Pending,Insufficient Balance
51,57,51,51,51,28-12-2019,966,43,4,West,Turkey ,Mobile Wallet,Success,Exceeded Limit
52,58,52,52,52,30-12-2019,1288,92,2,Central,Saudi Arabia,Debit Card,Cancelled,Network Error
53,59,53,53,53,30-12-2019,742,32,2,Northwest,Singapore ,UPI,Refunded,Exceeded Limit
54,60,54,54,54,30-12-2019,415,85,2,North,Afghanistan ,Net Banking,Refunded,Chargeback
55,63,55,55,55,30-12-2019,729,60,4,West,United States,UPI,Failed,Technical Error
56,64,56,56,56,30-12-2019,932,20,4,North,United States,PayPal,Success,Technical Error
57,65,57,57,57,30-12-2019,932,22,4,Southeast,France ,EMI,Success,Invalid Card Details
58,66,58,58,58,30-12-2019,208,85,1,Northeast,Bangladesh ,Debit Card,Failed,Refund Processed
59,67,59,59,59,30-12-2019,757,30,4,North,Russia ,Debit Card,Success,NA
60,68,60,60,60,30-12-2019,3203,35,4,Southeast,South Africa,UPI,Cancelled,Technical Error
61,69,61,61,61,30-12-2019,748,92,1,West,Afghanistan ,Cash On Delivery,Refunded,Refund Processed
62,71,62,62,62,30-12-2019,15042,69,50,Northwest,Germany ,Mobile Wallet,Pending,Duplicate Transaction
63,72,63,63,63,30-12-2019,1424,47,8,North,Switzerland ,Bank Transfer,Failed,Payment Gateway Timeout
64,73,64,64,64,30-12-2019,729,46,4,Northeast,Sweden ,Cash On Delivery,Failed,Technical Error
65,75,65,65,65,30-12-2019,1559,71,8,East,Afghanistan ,Cash On Delivery,Cancelled,Exceeded Limit
66,76,66,66,66,30-12-2019,1481,15,8,Southeast,Qatar ,Mobile Wallet,Refunded,Refund Processed
67,77,67,67,67,30-12-2019,1483,87,5,Northwest,United States,Debit Card,Refunded,Fraud Suspected
68,78,68,68,68,30-12-2019,1356,14,4,East,Poland ,Bank Transfer,Cancelled,Payment Gateway Timeout
69,79,69,69,69,30-12-2019,1051,66,4,North,Philippines ,UPI,Pending,Chargeback
70,80,70,70,70,30-12-2019,1356,53,8,Southwest,Singapore ,EMI,Refunded,Network Error
71,81,71,71,71,30-12-2019,453,96,2,North,France ,Mobile Wallet,Success,Cancelled by User
72,84,72,72,72,30-12-2019,339,66,2,Southwest,Norway ,Credit Card,Success,Exceeded Limit
73,85,73,73,73,30-12-2019,712,42,4,Central,Norway ,PayPal,Success,Currency Issue
74,86,74,74,74,30-12-2019,932,22,4,North,Italy ,PayPal,Pending,Exceeded Limit
75,87,75,75,75,30-12-2019,415,89,2,Southwest,Argentina ,EMI,Pending,NA
76,89,76,76,76,30-12-2019,282,41,1,East,China ,UPI,Refunded,Cancelled by User
77,91,77,77,77,30-12-2019,4347,86,4,West,Indonesia ,Cash On Delivery,Success,Invalid Card Details
78,92,78,78,78,30-12-2019,774,3,2,South,Egypt ,Debit Card,Cancelled,Currency Issue
79,93,79,79,79,30-12-2019,758,32,3,Northwest,Indonesia ,Debit Card,Success,Insufficient Balance
